	Sample	Output_file	start_seqs	start_sets	pass_sets	fail_sets	process
0	SRR1383468	SRR1383468_R1_consensus-pass.fastq	23526	4715	4710	5	build_consensus
1	SRR1383468	SRR1383468_R2_consensus-pass.fastq	23526	4715	2979	1736	build_consensus
2	SRR1383463	SRR1383463_R1_consensus-pass.fastq	96149	94242	94242	0	build_consensus
3	SRR1383463	SRR1383463_R2_consensus-pass.fastq	96149	94242	92753	1489	build_consensus
4	SRR1383452	SRR1383452_R1_consensus-pass.fastq	24140	23579	23579	0	build_consensus
5	SRR1383452	SRR1383452_R2_consensus-pass.fastq	24140	23579	23097	482	build_consensus
6	SRR1383456	SRR1383456_R1_consensus-pass.fastq	10389	4411	4405	6	build_consensus
7	SRR1383456	SRR1383456_R2_consensus-pass.fastq	10389	4411	3626	785	build_consensus
8	SRR1383467	SRR1383467_R1_consensus-pass.fastq	29273	3697	3694	3	build_consensus
9	SRR1383467	SRR1383467_R2_consensus-pass.fastq	29273	3697	2300	1397	build_consensus
10	SRR1383466	SRR1383466_R1_consensus-pass.fastq	5501	3774	3770	4	build_consensus
11	SRR1383466	SRR1383466_R2_consensus-pass.fastq	5501	3774	3295	479	build_consensus
12	SRR1383464	SRR1383464_R1_consensus-pass.fastq	23200	23038	23038	0	build_consensus
13	SRR1383464	SRR1383464_R2_consensus-pass.fastq	23200	23038	22899	139	build_consensus
14	SRR1383465	SRR1383465_R1_consensus-pass.fastq	36937	36738	36738	0	build_consensus
15	SRR1383465	SRR1383465_R2_consensus-pass.fastq	36937	36738	36580	158	build_consensus
16	SRR1383451	SRR1383451_R1_consensus-pass.fastq	84333	78314	78312	2	build_consensus
17	SRR1383451	SRR1383451_R2_consensus-pass.fastq	84333	78314	73569	4745	build_consensus
18	SRR1383453	SRR1383453_R1_consensus-pass.fastq	27422	26916	26916	0	build_consensus
19	SRR1383453	SRR1383453_R2_consensus-pass.fastq	27422	26916	26468	448	build_consensus
