	Sample	readtype	start	pass	fail	process
0	SRR1383466	R2	264734	7264	257470	filter_by_sequence_quality
1	SRR1383453	R2	1059990	31733	1028257	filter_by_sequence_quality
2	SRR1383465	R1	2123400	992561	1130839	filter_by_sequence_quality
3	SRR1383465	R2	2123400	47567	2075833	filter_by_sequence_quality
4	SRR1383453	R1	1059990	790896	269094	filter_by_sequence_quality
5	SRR1383464	R2	1648098	30986	1617112	filter_by_sequence_quality
6	SRR1383463	R1	1852661	856067	996594	filter_by_sequence_quality
7	SRR1383467	R1	265299	190387	74912	filter_by_sequence_quality
8	SRR1383451	R2	1293168	103411	1189757	filter_by_sequence_quality
9	SRR1383452	R1	1360994	995414	365580	filter_by_sequence_quality
10	SRR1383468	R2	461154	27416	433738	filter_by_sequence_quality
11	SRR1383466	R1	264734	185179	79555	filter_by_sequence_quality
12	SRR1383463	R2	1852661	127626	1725035	filter_by_sequence_quality
13	SRR1383451	R1	1293168	965005	328163	filter_by_sequence_quality
14	SRR1383468	R1	461154	328837	132317	filter_by_sequence_quality
15	SRR1383452	R2	1360994	31837	1329157	filter_by_sequence_quality
16	SRR1383464	R1	1648098	687951	960147	filter_by_sequence_quality
17	SRR1383456	R2	63073	12700	50373	filter_by_sequence_quality
18	SRR1383467	R2	265299	33871	231428	filter_by_sequence_quality
19	SRR1383456	R1	63073	41200	21873	filter_by_sequence_quality
