Sample	readtype	start	pass	fail	process
SRR1383466	R2	7264	6356	908	mask_primers
SRR1383453	R2	31733	31231	502	mask_primers
SRR1383465	R1	992561	931413	61148	mask_primers
SRR1383465	R2	47567	45675	1892	mask_primers
SRR1383453	R1	790896	745994	44902	mask_primers
SRR1383464	R2	30986	29281	1705	mask_primers
SRR1383463	R1	856067	800970	55097	mask_primers
SRR1383467	R1	190387	178960	11427	mask_primers
SRR1383451	R2	103411	97654	5757	mask_primers
SRR1383452	R1	995414	933588	61826	mask_primers
SRR1383468	R2	27416	26397	1019	mask_primers
SRR1383466	R1	185179	170228	14951	mask_primers
SRR1383463	R2	127626	125339	2287	mask_primers
SRR1383451	R1	965005	900378	64627	mask_primers
SRR1383468	R1	328837	305755	23082	mask_primers
SRR1383452	R2	31837	27614	4223	mask_primers
SRR1383464	R1	687951	643991	43960	mask_primers
SRR1383456	R2	12700	12017	683	mask_primers
SRR1383467	R2	33871	33042	829	mask_primers
SRR1383456	R1	41200	36604	4596	mask_primers
