sample_id	AssignGenes-igblast	MakeDB-igblast	FilterQuality	ParseDb-split	FilterJunctionMod3	AddMetadata	CollapseDuplicates
SRR1383451	9106	8884	8872	c(13, 8859)	8855	8855	2721
SRR1383452	2276	2219	2219	2219	2219	2219	900
SRR1383453	2513	2438	2434	c(2432, 2)	2431	2431	965
SRR1383456	121	15	14	14	14	14	6
SRR1383463	9925	9868	9865	c(11, 9854)	9854	9854	4764
SRR1383464	1854	1851	1851	1851	1851	1851	1048
SRR1383465	3171	3158	3158	c(2, 3156)	3156	3156	1732
SRR1383466	102	62	62	62	62	62	25
SRR1383467	248	204	203	203	203	203	80
SRR1383468	267	215	215	c(3, 212)	212	212	66
